Name,ID,Hiring Date,Department,Birthday,Month,Anniversary
Nichole Jackson,,2021-07-27 07:33:30.844001,Finance,1970-03-28,March,July
Christina Bean,,2021-12-09 17:41:23.383147,Finance,1996-01-20,January,December
Shannon Rivera,,2019-08-15 00:29:56.163578,IT,1987-05-29,May,August
Linda Murray,,2022-09-13 23:08:59.667472,HR,1964-08-24,August,September
Samantha Moore,,2020-10-16 10:24:43.791723,Marketing,1978-04-15,April,October
Jessica Patrick,,2023-03-29 00:48:49.660425,Marketing,1968-01-14,January,March
Ashley Buchanan,,2019-05-24 00:31:23.829075,IT,1984-12-20,December,May
Dr. Steven Vasquez Jr.,,2020-12-13 05:50:10.891108,IT,1974-04-07,April,December
Brenda Wright,,2022-10-29 01:32:55.053926,R&D,1978-11-01,November,October
Daniel Soto,,2022-04-24 22:39:00.141630,Marketing,1989-10-06,October,April
Mrs. Bailey Hughes,,2023-07-04 03:06:02.043342,Finance,1971-03-10,March,July
Melinda Bennett,,2023-04-28 19:43:38.540461,IT,1999-05-27,May,April
Selena Garcia,,2020-08-31 13:20:50.037830,IT,1981-01-04,January,August
Andrea Wright,,2021-02-25 11:12:14.696102,R&D,1971-06-10,June,February
Kimberly Stewart DDS,,2023-09-19 22:18:49.795655,Finance,1989-06-21,June,September
Megan Yoder,,2021-10-29 09:38:15.470188,Marketing,1990-04-28,April,October
David Santiago,,2022-05-19 13:21:35.562870,IT,1978-07-05,July,May
Miss Natalie Bautista,,2021-10-05 02:08:37.173642,Marketing,1961-03-09,March,October
Joshua Mora,,2022-07-25 13:20:02.662042,IT,1969-07-27,July,July
Wayne Thompson,,2023-06-26 02:34:05.547504,Finance,1996-02-09,February,June
Todd Rodriguez,,2021-10-12 23:48:02.987717,Marketing,1982-06-10,June,October
Christian Holt,,2021-03-20 15:10:29.388156,Marketing,1971-03-19,March,March
Kimberly Smith,,2023-08-05 08:29:26.488686,Finance,1986-02-13,February,August
Mary Mccoy,,2021-10-20 15:49:05.872198,R&D,1995-09-15,September,October
Sarah Eaton,,2020-06-17 02:32:08.513172,R&D,1993-07-20,July,June
Dominic Harrell,,2020-12-22 01:46:00.745286,IT,1971-05-13,May,December
Stephanie Guzman,,2022-05-30 21:02:22.210575,IT,1963-02-12,February,May
Amanda Powers,,2021-02-11 16:08:29.114373,IT,1959-04-22,April,February
Joseph Clark,,2023-07-02 16:26:09.726212,IT,1959-05-08,May,July
Devin Rocha,,2020-12-03 10:35:44.429284,R&D,1980-08-11,August,December
Bruce Weeks,,2021-01-11 11:33:58.068774,Finance,1989-09-11,September,January
Harold Barber,,2022-04-27 05:17:42.159314,Finance,1997-03-25,March,April
Alejandro Barton,,2023-11-07 10:50:06.937918,IT,1964-11-27,November,November
Sophia Anderson,,2022-05-17 10:12:39.732217,HR,1985-06-25,June,May
Julie Graves,,2023-11-01 06:04:21.415503,IT,1974-05-10,May,November
Nicole Flores,,2023-09-22 16:35:52.145287,HR,1988-04-01,April,September
Thomas Bell,,2022-06-12 16:24:25.681253,R&D,1984-03-26,March,June
Sherry Shannon,,2023-08-17 21:54:20.756539,HR,1972-05-19,May,August
Jennifer Hanson,,2021-03-12 23:23:06.024473,Marketing,2001-10-12,October,March
Jessica White,,2020-01-15 08:39:26.313207,HR,1959-10-22,October,January
Dr. Dawn Gibson,,2023-02-08 02:17:03.129254,R&D,1980-02-08,February,February
Raymond Jones,,2019-10-20 07:49:18.572894,IT,1976-04-04,April,October
Mark Valdez,,2022-10-11 22:46:26.819955,HR,1994-06-23,June,October
Ian Salinas,,2023-09-24 21:54:23.120835,IT,1983-08-13,August,September
Jared Butler,,2020-11-18 03:59:30.950824,Marketing,1995-03-04,March,November
Courtney Chen,,2023-12-03 21:34:53.691128,Finance,1989-12-08,December,December
April Hale,,2020-12-08 06:13:53.647310,Finance,1964-03-17,March,December
Rodney Young,,2021-11-02 07:48:07.322095,Marketing,1960-07-25,July,November
Erin Harper,,2020-06-04 11:48:08.865277,R&D,1994-11-08,November,June
Amanda Thompson,,2022-08-26 07:54:12.341883,HR,1987-07-11,July,August
James York,,2020-02-14 23:11:25.404261,R&D,1961-04-15,April,February
Joshua Graham,,2022-01-30 05:37:23.463021,Marketing,1971-05-27,May,January
Ronald Franco,,2020-05-30 09:48:58.694012,Finance,1973-11-29,November,May
Jessica Jenkins,,2021-02-09 03:43:50.446708,R&D,2000-05-20,May,February
Ross Ashley,,2023-02-20 13:01:00.253847,Marketing,1982-04-20,April,February
Gary Hall,,2023-09-16 00:43:39.335683,IT,1984-06-22,June,September
Amanda Anderson,,2022-05-20 21:40:01.964924,Finance,1986-04-29,April,May
Anthony Stewart,,2019-07-31 15:05:16.023169,HR,1961-08-21,August,July
Pamela Wong,,2023-11-01 14:17:46.487507,IT,2001-10-11,October,November
Anthony Roman,,2022-12-25 11:21:54.656784,Marketing,1997-12-10,December,December
Alicia Stewart,,2020-03-28 22:48:14.453286,IT,1959-08-27,August,March
Crystal Davis,,2023-01-19 05:39:29.499544,Marketing,1979-12-06,December,January
Dakota Anderson,,2021-07-30 02:53:18.575794,R&D,2001-02-04,February,July
Jennifer Gomez,,2022-10-10 01:36:03.608797,Finance,1983-10-17,October,October
Leah Mills,,2021-12-11 05:33:13.620806,R&D,1985-04-21,April,December
Robert Cannon,,2024-02-03 18:19:08.123048,R&D,1982-03-02,March,February
Robert Richards,,2023-03-03 08:27:05.493236,Marketing,2003-12-01,December,March
Renee Trujillo,,2024-02-27 02:43:37.812970,Marketing,2000-10-03,October,February
Jean Cooper,,2022-12-04 22:30:47.895412,Finance,1982-02-22,February,December
Veronica Johnson,,2023-07-26 18:59:47.549898,R&D,2003-04-21,April,July
Lucas Bradford,,2020-04-20 05:35:40.615746,R&D,1998-06-26,June,April
Joann Morales,,2023-10-27 19:52:08.616851,HR,1967-04-16,April,October
Robert Carter,,2022-08-28 20:55:59.710093,Finance,1961-01-15,January,August
Wyatt Carlson,,2022-04-20 04:04:17.751350,HR,1975-09-23,September,April
Morgan Green,,2022-11-22 19:11:51.653213,Finance,1962-11-16,November,November
Nancy Burton,,2020-08-26 22:13:38.921881,IT,2000-01-28,January,August
Erin Lee,,2022-07-28 08:43:03.033789,Finance,2002-08-04,August,July
Mary Gonzalez,,2021-11-14 06:21:35.902438,Finance,1971-10-07,October,November
Cynthia Cole,,2020-01-31 21:25:42.160661,Finance,1992-09-15,September,January
Katherine Watson,,2019-05-20 21:42:08.653425,Finance,1970-04-02,April,May
Eric Curry,,2022-04-24 14:51:07.451587,Finance,1995-11-03,November,April
Nicholas Jones,,2022-11-12 22:49:18.516187,Finance,1979-02-01,February,November
Ashley Black,,2020-08-14 08:39:47.030924,Finance,1988-01-19,January,August
Kimberly Hartman,,2020-10-25 04:55:33.129751,Finance,1963-05-29,May,October
Benjamin Crane,,2022-07-23 00:37:26.964842,Marketing,2001-07-19,July,July
Benjamin Powers,,2023-10-03 04:35:42.801486,Finance,1995-07-13,July,October
Victor Smith,,2021-09-13 04:29:05.191972,R&D,1975-10-22,October,September
Brian Turner,,2021-11-07 00:16:01.000935,R&D,1963-12-26,December,November
Laura Walker,,2024-01-03 04:28:48.527921,IT,1969-12-27,December,January
Beth Riley,,2023-11-26 10:14:38.344449,Marketing,1974-10-22,October,November
Amy Gregory,,2019-09-15 15:17:18.707881,IT,1971-12-23,December,September
Jaime Holloway,,2022-06-05 00:35:38.186633,Marketing,1997-03-30,March,June
Mr. Christopher Duffy,,2019-03-12 21:34:21.939126,Finance,1986-02-22,February,March
Kayla Davis,,2020-04-25 12:38:09.807981,Marketing,1969-02-05,February,April
Christina Pacheco,,2020-05-09 13:00:33.939599,R&D,2002-07-20,July,May
Tina Jennings,,2019-10-07 04:51:58.477183,Finance,1977-03-29,March,October
Michael Tran,,2020-02-28 08:25:04.567811,R&D,1994-05-22,May,February
Lisa Arias,,2022-12-30 22:55:07.521938,Finance,1967-05-09,May,December
Diana Allen,,2021-09-28 07:03:56.048642,Marketing,1989-02-03,February,September
Jade Cherry,,2023-08-19 06:40:21.415571,Marketing,1991-11-02,November,August
